"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"59","Learn R By Intensive Practice - Part 2 is here! https://t.co/fZnksr1Atb #rstats #datascience #analytics https://t.co/Lf3G0kCdzQ",FALSE,106,NA,2016-04-14 04:43:54,FALSE,NA,"720472625001140228",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",35,FALSE,FALSE,NA,NA
"141","A great collection of #rstats books: https://t.co/ZsbZeVf3Qf
#datascience http://t.co/mQbrwO4uLX",FALSE,57,NA,2015-08-27 03:14:29,FALSE,NA,"636738527019986944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",35,FALSE,FALSE,NA,NA
"29","Chance to get 'Mastering R Programming' video course for $5 (heavily discounted!) #rstats #datascience… https://t.co/EVEwVBwBYd",FALSE,51,NA,2016-12-17 00:49:46,TRUE,NA,"809923508285345792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",34,FALSE,FALSE,NA,NA
"60","R Tip: How to use `stargazer` to compare results of regression models. see pic. #rstats #datascience #statistics https://t.co/gvyQmAAMOH",FALSE,103,NA,2016-04-07 05:41:51,FALSE,NA,"717950493905936384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",34,FALSE,FALSE,NA,NA
"79","https://t.co/n2qIxYoDJF now have a new video courses section! https://t.co/F0pWEl58vL #rstats #datascience https://t.co/K5UpATjUVR",FALSE,65,NA,2016-01-21 13:55:48,FALSE,NA,"690170936595623936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",34,FALSE,FALSE,NA,NA
"210","R Tip: mosaicplot() - a simple and elegant way to visualise categorical data #rstats #datascience http://t.co/dBQSHbdnKE",FALSE,51,NA,2015-05-24 13:01:55,FALSE,NA,"602459510473527296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",34,FALSE,FALSE,NA,NA
"276","How to implement Support Vector Machines with R: Advanced  http://t.co/To8j69n9kp  #rstats #datascience #analytics http://t.co/AGfOjmAREq",FALSE,47,NA,2015-02-19 14:15:10,FALSE,NA,"568413488013377536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",34,FALSE,FALSE,NA,NA
"6","New Blog: Introducing a Brand New Machine Learning Tutorials Blog - MachineLearningPlus https://t.co/qNdSClV3cT… https://t.co/CGBTDvcNfK",FALSE,87,NA,2017-09-30 14:39:52,TRUE,NA,"914137726466715649",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",33,FALSE,FALSE,NA,NA
"40","R Tip: The latest version of lubridate pkg can now handle year-quarter date formats with `yq` #rstats #datascience https://t.co/RuI1aetaD2",FALSE,47,NA,2016-09-19 05:19:04,FALSE,NA,"777738760125505536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",33,FALSE,FALSE,NA,NA
"85","A complete guide to effectively detect outliers and treat m! #rstats #datascience #analytics https://t.co/8s3RqfEDK7 https://t.co/ZXVddlvU0K",FALSE,72,NA,2016-01-01 11:22:16,FALSE,NA,"682884539107020800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",33,FALSE,FALSE,NA,NA
"88","Complete guide to treating missing values with R. Must bookmark! https://t.co/SkX46QxwBV #rstats #datascience #analytics",FALSE,94,NA,2015-12-22 19:34:25,FALSE,NA,"679384514687197184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",33,FALSE,FALSE,NA,NA
"118","A detailed and comprehensive introduction to linear regression! #rstats #datascience https://t.co/nMRHUSq6Vy https://t.co/PPrfWFPfKX",FALSE,79,NA,2015-10-22 04:34:25,FALSE,NA,"657052364881309696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",33,FALSE,FALSE,NA,NA
"177","How to setup RStudio on amazon cloud by @AnalyticsVidhya http://t.co/8H1VKrImXS #rstats #datascience http://t.co/GtbDFmdmcc",FALSE,54,NA,2015-07-11 04:45:51,FALSE,NA,"619729289978576896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",33,FALSE,FALSE,NA,NA
"183","R Tip: For a numeric matrix 'myMat', colSums(myMat) returns the sum of each column in 'myMat'. #rstats #datascience http://t.co/F5yDxmZfzi",FALSE,38,NA,2015-07-05 02:59:46,FALSE,NA,"617528266161676288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",33,FALSE,FALSE,NA,NA
"5","New Post: Python Regular Expressions Tutorial and Examples - A Simplified Guide https://t.co/pvc5fz7khB #python… https://t.co/mjIIhi1dTg",TRUE,81,NA,2018-01-21 12:59:36,TRUE,NA,"955062320819945472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",32,FALSE,FALSE,NA,NA
"154","R Tip: Use Alt+Shift+K on windows (or) Option+Shift+K on mac to view RStudio shortcuts instantly #rstats #datascience http://t.co/G54eZmBQsv",FALSE,67,NA,2015-08-06 04:11:06,FALSE,NA,"629142631499456512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",32,FALSE,FALSE,NA,NA
